id,assigned_to,lead_status,estimated_value,created_date,last_contacted,converted_date
1,Emma Thompson,new,5000,2024-09-15,2024-09-16,
2,James Wilson,contacted,12000,2024-09-16,2024-09-18,
3,Sophia Martinez,qualified,25000,2024-09-17,2024-09-20,
4,Michael Brown,proposal,18000,2024-09-18,2024-09-22,
5,Emma Thompson,converted,35000,2024-09-19,2024-09-25,2024-09-25
6,James Wilson,new,8000,2024-09-20,2024-09-21,
7,Sophia Martinez,contacted,15000,2024-09-21,2024-09-23,
8,Michael Brown,qualified,22000,2024-09-22,2024-09-24,
9,Emma Thompson,proposal,28000,2024-09-23,2024-09-26,
10,James Wilson,converted,42000,2024-09-24,2024-09-28,2024-09-28
11,Sophia Martinez,new,6000,2024-09-25,2024-09-26,
12,Michael Brown,contacted,14000,2024-09-26,2024-09-28,
13,Emma Thompson,qualified,30000,2024-09-27,2024-09-30,
14,James Wilson,proposal,19000,2024-09-28,2024-10-02,
15,Sophia Martinez,converted,45000,2024-09-29,2024-10-03,2024-10-03
16,Michael Brown,new,7500,2024-09-30,2024-10-01,
17,Emma Thompson,contacted,16000,2024-10-01,2024-10-03,
18,James Wilson,qualified,27000,2024-10-02,2024-10-05,
19,Sophia Martinez,proposal,21000,2024-10-03,2024-10-07,
20,Michael Brown,converted,38000,2024-10-04,2024-10-08,2024-10-08
21,Emma Thompson,new,9000,2024-10-05,2024-10-06,
22,James Wilson,contacted,13000,2024-10-06,2024-10-08,
23,Sophia Martinez,qualified,32000,2024-10-07,2024-10-10,
24,Michael Brown,proposal,24000,2024-10-08,2024-10-12,
25,Emma Thompson,converted,48000,2024-10-09,2024-10-13,2024-10-13
26,James Wilson,new,5500,2024-10-10,2024-10-11,
27,Sophia Martinez,contacted,17000,2024-10-11,2024-10-13,
28,Michael Brown,qualified,29000,2024-10-12,2024-10-15,
29,Emma Thompson,proposal,23000,2024-10-13,2024-10-17,
30,James Wilson,converted,41000,2024-10-14,2024-10-18,2024-10-18
31,Sophia Martinez,new,11000,2024-10-15,2024-10-16,
32,Michael Brown,contacted,20000,2024-10-16,2024-10-18,
33,Emma Thompson,qualified,36000,2024-10-17,2024-10-20,
34,James Wilson,proposal,26000,2024-10-18,2024-10-22,
35,Sophia Martinez,converted,52000,2024-10-19,2024-10-23,2024-10-23
36,Michael Brown,new,7000,2024-10-20,2024-10-21,
37,Emma Thompson,contacted,18000,2024-10-21,2024-10-23,
38,James Wilson,qualified,33000,2024-10-22,2024-10-25,
39,Sophia Martinez,proposal,25000,2024-10-23,2024-10-27,
40,Michael Brown,converted,49000,2024-10-24,2024-10-28,2024-10-28
41,Emma Thompson,new,8500,2024-10-25,2024-10-26,
42,James Wilson,contacted,15000,2024-10-26,2024-10-28,
43,Sophia Martinez,qualified,31000,2024-10-27,2024-10-30,
44,Michael Brown,proposal,22000,2024-10-28,2024-11-01,
45,Emma Thompson,converted,44000,2024-10-29,2024-11-02,2024-11-02
46,James Wilson,new,9500,2024-10-30,2024-10-31,
47,Sophia Martinez,contacted,19000,2024-10-31,2024-11-02,
48,Michael Brown,qualified,34000,2024-11-01,2024-11-04,
49,Emma Thompson,proposal,27000,2024-11-02,2024-11-05,
50,James Wilson,converted,51000,2024-11-03,2024-11-06,2024-11-06

